Id,Title,Author,Date,Link
45,Liberia’s Fact-Checking Outlet Gets International Signatory,The Stage Media-Liberia -,"March 13, 2023",https://tsmliberia.com/liberias-fact-checking-outlet-gets-international-signatory/
46,Police Boss’s Claim On Officers- to-Citizens Ratio; No Data,Bettie Johnson-Mbayo -,"March 13, 2023",https://tsmliberia.com/police-bosss-claim-on-officers-to-citizens-ratio-no-data/
47,50% Drop in Teen Pregnancy? We Checked the Claim by Swedish Ambassador,Bettie Johnson-Mbayo -,"March 9, 2023",https://tsmliberia.com/50-drop-in-teen-pregnancy-we-checked-the-claim-by-swedish-ambassador/
48,"True, Varlee Tarlee did not Attend his Baby’s Naming Ceremony",The Stage Media-Liberia -,"March 3, 2023",https://tsmliberia.com/true-varlee-tarlee-did-not-attend-his-babys-naming-ceremony/
49,Liberia’s Capital City is Most Populated? We checked MPC’s head claims...,Bettie Johnson-Mbayo -,"March 3, 2023",https://tsmliberia.com/liberias-capital-city-is-most-populated-we-checked-mpcs-head-claims-about-population/
50,"Viral Shell plc recruitment on WhatsApp, false",The Stage Media-Liberia -,"February 28, 2023",https://tsmliberia.com/viral-shell-plc-recruitment-on-whatsapp-false/
51,Explainer:  The state of Liberia’s 2022 National   ...,The Stage Media-Liberia -,"February 22, 2023",https://tsmliberia.com/explainer-the-state-of-liberias-2022-national-housing-and-population-census/
52,"No, AMEU And AMEZU Presidents Haven’t Resign",The Stage Media-Liberia -,"February 21, 2023",https://tsmliberia.com/no-ameu-and-amezu-presidents-havent-resign/
53,No Record That Boakai-Cummings Ticket Seals,The Stage Media-Liberia -,"February 17, 2023",https://tsmliberia.com/no-record-that-boakai-cummings-ticket-seals/
54,SONA: Weah’s Claim on Anti-Graft Institution Budget is Incorrect,Bettie Johnson-Mbayo -,"February 16, 2023",https://tsmliberia.com/sona-weahs-claim-on-anti-graft-institution-budget-is-incorrect/
55,Does the Legislature have a Website?,Mark Mengonfia -,"February 15, 2023",https://tsmliberia.com/does-the-legislature-have-a-website/
56,SONA: Did Weah Get Facts Right on Economy?,Bettie Johnson-Mbayo -,"February 9, 2023",https://tsmliberia.com/sona-did-weah-get-facts-right-on-economy/
57,Explainer: Liberia and Inconsistent COVID-19 record,Mark Mengonfia -,"February 7, 2023",https://tsmliberia.com/explainer-liberia-and-inconsistent-covid-19-record/
58,Is Education Minister Right on 1.4 million children In School?,The Stage Media-Liberia -,"February 6, 2023",https://tsmliberia.com/is-education-minister-right-on-1-4-million-children-in-school/
59,"False, No Increment in Doctor’s Salary",The Stage Media-Liberia -,"February 6, 2023",https://tsmliberia.com/false-no-increment-in-doctors-salary/
60,SONA: Is Liberia’s Land Act Africa’s Most Progressive?,The Stage Media-Liberia -,"January 31, 2023",https://tsmliberia.com/sona-is-liberias-land-act-africas-most-progressive/
61,"FALSE, 80% of Liberians not vaccinated Against COVID-19",Mark Mengonfia -,"January 27, 2023",https://tsmliberia.com/false-80-of-liberians-not-vaccinated-against-covid-19/
62,Explainer: What To Know About Liberia’s Poverty Reduction Ratio,Mark Mengonfia -,"January 25, 2023",https://tsmliberia.com/explainer-what-to-know-about-liberias-poverty-reduction-ratio/
63,True! Liberia’s doctor-to-patient ratio Peak,The Stage Media-Liberia -,"January 23, 2023",https://tsmliberia.com/true-liberias-doctor-to-patient-ratio-peak/
64,Fact-Check: Is VP Taylor Correct On Census Claim?,Mark Mengonfia -,"January 19, 2023",https://tsmliberia.com/fact-check-is-vp-taylor-correct-on-census-claim/
65,Explainer: Who sang the Nimba County Meet Song?,The Stage Media-Liberia -,"January 17, 2023",https://tsmliberia.com/explainer-who-sang-the-nimba-county-meet-song/
66,Fact-Check: Is electricity sold for 15 cents per KWH?,Bettie Johnson-Mbayo -,"January 16, 2023",https://tsmliberia.com/fact-check-is-electricity-sold-for-15-cents-per-kwh/
67,"Fact Check: This year, February won’t be the last  in...",Mark Mengonfia -,"January 16, 2023",https://tsmliberia.com/fact-check-this-year-february-wont-be-the-last-in-823-years/
68,"Explainer:  Information Minister Radio Appearance, What did he say?",The Stage Media-Liberia -,"January 12, 2023",https://tsmliberia.com/explainer-information-minister-radio-appearance-what-did-he-say/
69,Explainer: What to know about President Weah’s trip to Paris Forum,The Stage Media-Liberia -,"January 4, 2023",https://tsmliberia.com/explainer-what-to-know-about-president-weahs-trip-to-paris-forum/
70,"Scam; MTN not gifting L$12,690 As Random Giveaway",The Stage Media-Liberia -,"December 29, 2022",https://tsmliberia.com/scam-mtn-not-gifting-l12690-as-random-giveaway/
71,Fact-Check: Did Min. Tweah Approve Cheque For Weah Without Seeing The...,The Stage Media-Liberia -,"December 14, 2022",https://tsmliberia.com/fact-check-did-min-tweah-approve-cheque-for-weah-without-seeing-the-amount/
72,"21 Fellows from 5 West African Countries, including TSM Staff selected...",The Stage Media-Liberia -,"December 6, 2022",https://tsmliberia.com/21-fellows-from-5-west-african-countries-including-tsm-staff-selected-for-kwame-karikari-fact-checking-and-research-fellowship/
73,"No, Ex-President Ellen Johnson Sirleaf is not Dead",The Stage Media-Liberia -,"December 6, 2022",https://tsmliberia.com/no-ex-president-ellen-johnson-sirleaf-is-not-dead/
74,False; Veralyn Vonleh is not The First Miss Liberia,The Stage Media-Liberia -,"December 6, 2022",https://tsmliberia.com/false-veralyn-vonleh-is-not-the-first-miss-liberia/
75,"Fact Check: Beware, Viral Post Claiming FIFA Offering 50GB Free Data...",The Stage Media-Liberia -,"November 28, 2022",https://tsmliberia.com/fact-check-beware-viral-post-claiming-fifa-offering-50gb-free-data-is-a-scam/
76,No Evidence that  DEW Bottled Water is sold in Liberia,The Stage Media-Liberia -,"November 21, 2022",https://tsmliberia.com/no-evidence-that-dew-bottled-water-is-sold-in-liberia/
77,Africa Facts Ends 2022 Summit,The Stage Media-Liberia -,"November 14, 2022",https://tsmliberia.com/africa-facts-ends-2022-summit/
78,Liberia: Fact-Checking NEC Requirement for 2023 Voter Registration,The Stage Media-Liberia -,"November 8, 2022",https://tsmliberia.com/liberia-fact-checking-nec-requirement-for-2023-voter-registration/
79,False! Weah never promised to implement war and economic crimes court...,The Stage Media-Liberia -,"November 8, 2022",https://tsmliberia.com/false-weah-never-promised-to-implement-war-and-economic-crimes-court-at-unga/
80,False! Public wage bill under former President Ellen Johnson Sirleaf was...,The Stage Media-Liberia -,"October 31, 2022",https://tsmliberia.com/false-public-wage-bill-under-former-president-ellen-johnson-sirleaf-was-never-70-of-total-expenditure/
81,Liberia peacekeeping ‘largest operation in Africa in the history of the...,Bettie Johnson-Mbayo -,"October 11, 2022",https://tsmliberia.com/liberia-peacekeeping-largest-operation-in-africa-in-the-history-of-the-un-fact-checking-prominent-economists-claims/
82,Explainer: Liberia’s political jigsaw and the proliferation of violence,The Stage Media-Liberia -,"October 2, 2022",https://tsmliberia.com/explainer-liberias-political-jigsaw-and-the-proliferation-of-violence/
83,Hoax: The website promoting MTN Free Data is a scam,Bettie Johnson-Mbayo -,"September 7, 2022",https://tsmliberia.com/3248-2/
84,"Dual citizens cannot be elected as Representatives, Senators despite new law",Bettie Johnson-Mbayo -,"August 29, 2022",https://tsmliberia.com/dual-citizens-cannot-be-elected-as-representatives-senators-despite-new-law/
85,Fact Check: The Central Bank of Liberia has not minted coins...,Bettie Johnson-Mbayo -,"August 22, 2022",https://tsmliberia.com/fact-check-the-central-bank-of-liberia-has-not-minted-coins-in-l25-and-l30-denominations/
86,Fact Check: Nathaniel McGill Does Not Have Account with UBA Ghana,Bettie Johnson-Mbayo -,"August 19, 2022",https://tsmliberia.com/fact-check-nathaniel-mcgill-does-not-have-account-with-uba-ghana/
87,No Evidence that Foreign Minister’s Wife is declared Persona Non-Grata,The Stage Media-Liberia -,"August 12, 2022",https://tsmliberia.com/no-evidence-that-foreign-ministers-wife-is-declared-persona-non-grata/
88,Here’s a round-up of your weekly Fact-Check in Pidgin,The Stage Media-Liberia -,"August 5, 2022",https://tsmliberia.com/heres-a-round-up-of-your-weekly-fact-check-in-pidgin/
89,"False, This Acrobat is not Liberian",The Stage Media-Liberia -,"August 4, 2022",https://tsmliberia.com/false-this-acrobat-is-not-liberian/
90,Fa-Chek: Dis big hous na for President Weah,Bettie Johnson-Mbayo -,"August 4, 2022",https://tsmliberia.com/fa-chek-dis-big-hous-na-for-president-weah/
91,The Picture of Rihanna holding a baby is Old and not...,The Stage Media-Liberia -,"June 16, 2022",https://tsmliberia.com/the-picture-of-rihanna-holding-a-baby-is-old-and-not-her-baby/
92,Fact Check: Was Bong Senator Correct on Airports in West Africa?,Bettie Johnson-Mbayo -,"June 2, 2022",https://tsmliberia.com/fact-check-was-bong-senator-correct-on-airports-in-west-africa/
93,Fact Check: Is Rev. Reeves the Political Leader of MOVEE?,Bettie Johnson-Mbayo -,"May 30, 2022",https://tsmliberia.com/fact-check-is-rev-reeves-the-political-leader-of-movee/
94,Fact Check: Does President Weah have a Farm in Sinoe and...,Bettie Johnson-Mbayo -,"May 25, 2022",https://tsmliberia.com/fact-check-does-president-weah-have-a-farm-in-sinoe-and-nimba/
95,Fact Check: Was Senator Joseph Right on CT Scan in JFK?,The Stage Media-Liberia -,"May 23, 2022",https://tsmliberia.com/fact-check-was-senator-joseph-right-on-ct-scan-in-jfk/
96,"No, Football Agent Mino Raiola is not Dead",The Stage Media-Liberia -,"April 28, 2022",https://tsmliberia.com/no-football-agent-mino-raiola-is-not-dead/
97,Explainer: How Bishop Gardea Johnson Kneeled,The Stage Media-Liberia -,"April 25, 2022",https://tsmliberia.com/explainer-how-bishop-johnson-kneeled/
98,Quick Check: There is no threat from Russia to bomb Liberia,The Stage Media-Liberia -,"April 22, 2022",https://tsmliberia.com/quick-check-there-is-no-threat-from-russia-to-bomb-liberia/
99,Fact Check: This is not President Weah’s Palace,The Stage Media-Liberia -,"April 21, 2022",https://tsmliberia.com/fact-check-this-is-not-president-weahs-palace/
100,"Beware, Youth Empowerment Fund is a scam On Facebook and WhatsApp",The Stage Media-Liberia -,"April 19, 2022",https://tsmliberia.com/beware-youth-empowerment-fund-is-a-scam-on-facebook-and-whatsapp/
101,"No, Ghana has not Introduced uniforms for Teachers, But,",The Stage Media-Liberia -,"April 13, 2022",https://tsmliberia.com/no-ghana-has-not-introduced-uniforms-for-teachers-but/
102,Explainer:  The University of Liberia Policy that Grants Koijee Honor,The Stage Media-Liberia -,"March 18, 2022",https://tsmliberia.com/explainer-the-university-of-liberia-policy-that-grants-koijee-honor/
103,"False, Hushpuppi  is not in $400K Fraud While in US...",The Stage Media-Liberia -,"March 17, 2022",https://tsmliberia.com/false-hushpuppi-is-not-in-400k-fraud-while-in-us-prison/
104,"Qatar Airway is not Presenting Gifts, the Message is False",The Stage Media-Liberia -,"March 14, 2022",https://tsmliberia.com/qatar-airway-is-not-presenting-gifts-the-message-is-false/
105,Fact Check: Did the Liberian Gov’t Urge its Students in Ukraine...,The Stage Media-Liberia -,"March 3, 2022",https://tsmliberia.com/fact-check-did-the-liberian-govt-urge-its-students-in-ukraine-to-hide-in-the-bush/
106,"Fact Check: Yes, 2022 is Liberia’s largest Budget",The Stage Media-Liberia -,"February 16, 2022",https://tsmliberia.com/fact-check-yes-2022-is-liberias-largest-budget/
107,"No, MTN is not giving Valentine’ Gifts",The Stage Media-Liberia -,"February 7, 2022",https://tsmliberia.com/no-mtn-is-not-giving-valentine-gifts/
108,"SONA22 Fact Check: No, Atlantic Corporation is not the first to...",The Stage Media-Liberia -,"January 27, 2022",https://tsmliberia.com/sona22-fact-check-no-atlantic-corporation-is-not-the-first-to-export-organic-cocoa/
109,Fact Check: Did President Weah get his facts on Education in...,The Stage Media-Liberia -,"January 24, 2022",https://tsmliberia.com/fact-check-did-president-weah-get-his-facts-on-education-in-2021-sona/
110,"Beware, WhatsApp Message on Free Laptops for Student is Scam",The Stage Media-Liberia -,"January 6, 2022",https://tsmliberia.com/19391939-2/
111,What to know about the Lofa Road,The Stage Media-Liberia -,"December 31, 2021",https://tsmliberia.com/what-to-know-about-the-lofa-road/
112,The Stage Media’s 2021: A Year in Review,The Stage Media-Liberia -,"December 30, 2021",https://tsmliberia.com/the-stage-medias-2021-a-year-in-review/
113,"Viral Photo of a Clergy Anointing Women’s Pants, bras is Misleading",The Stage Media-Liberia -,"December 29, 2021",https://tsmliberia.com/viral-photo-of-a-clergy-anointing-womens-pants-bras-is-misleading/
114,Top 12 Gov’t Institutions with the Highest Allocation in 2022 Proposed...,The Stage Media-Liberia -,"December 27, 2021",https://tsmliberia.com/top-12-ministries-with-the-highest-allocation-in-2022-proposed-budget/
115,What you need to know about the Two- brands of Covid-19...,The Stage Media-Liberia -,"December 20, 2021",https://tsmliberia.com/1835-2/
116,Was the Transit Authority Driver Shot?,The Stage Media-Liberia -,"December 15, 2021",https://tsmliberia.com/was-the-transit-authority-driver-shot/
117,Explainer: Who Is Funding Construction of the Invincible Park?,The Stage Media-Liberia -,"December 14, 2021",https://tsmliberia.com/explainer-who-is-funding-construction-of-the-invincible-park/
118,Coffin resembling phallus was used to bury Ghanaian man who performed...,The Stage Media-Liberia -,"December 5, 2021",https://tsmliberia.com/coffin-resembling-phallus-was-used-to-bury-ghanaian-man-who-performed-circumcisions-not-a-woman-who-had-10-kids/
119,Fact Check: Integrity Teen Emmanuel Tolue Did Not Falsify His Document,The Stage Media-Liberia -,"November 26, 2021",https://tsmliberia.com/fact-check-integrity-teen-emmanuel-tolue-did-not-falsify-his-document/
120,Unverified: Data Showing Candidates and Percentage in Grand Gedeh County By-Election.”,The Stage Media-Liberia -,"November 17, 2021",https://tsmliberia.com/unverified-graphic-showing-candidates-and-percentage-in-grand-gedeh-county-by-election/
121,Quick Checks: Hurried On: Claim from Bomi By-Election,The Stage Media-Liberia -,"November 17, 2021",https://tsmliberia.com/quick-checks-hurried-on-claim-from-bomi-by-election/
122,"No, US Democracy Meeting is Virtual and not In-Person Summit",The Stage Media-Liberia -,"November 16, 2021",https://tsmliberia.com/no-us-democracy-meeting-is-virtual-and-not-in-person-summit/
123,Is Varkan Ege the first International Vessel at Harper Port in...,The Stage Media-Liberia -,"November 12, 2021",https://tsmliberia.com/is-varkan-ege-the-first-international-vessel-at-harper-port-in-31-years/
124,"False, Immigration Officer head Was Not Cut Off",The Stage Media-Liberia -,"November 2, 2021",https://tsmliberia.com/false-immigration-officer-head-was-not-cut-off/
125,Fact Check: Did Dr. Amos Sawyer Overstay 12 years at the...,The Stage Media-Liberia -,"October 28, 2021",https://tsmliberia.com/fact-check-did-dr-amos-sawyer-overstay-12-years-at-the-governance-commission/
126,"True, Livingstone College Offers Full Scholarship to Liberian Teen Emmanuel Tuloe",The Stage Media-Liberia -,"October 27, 2021",https://tsmliberia.com/true-livingstone-college-offers-full-scholarship-to-liberian-teen-emmanuel-tuloe/
127,"Scam Alert: US Embassy not offering BSc, MSc, PhD scholarships",The Stage Media-Liberia -,"October 25, 2021",https://tsmliberia.com/scam-alert-us-embassy-not-offering-bsc-msc-phd-scholarships/
128,"No! Zuckerberg did not post message on Facebook, WhatsApp, others ‘seven...",The Stage Media-Liberia -,"October 11, 2021",https://tsmliberia.com/no-zuckerberg-did-not-post-message-on-facebook-whatsapp-others-seven-days-shutdown/
129,"Assessing Nicki Minaj’s claim COVID-19 vaccine could cause impotence, swollen testicles",The Stage Media-Liberia -,"October 5, 2021",https://tsmliberia.com/assessing-nicki-minajs-claim-covid-19-vaccine-could-cause-impotence-swollen-testicles/
130,"Fact Check -False, The UN did Not Issue this Alert on...",The Stage Media-Liberia -,"September 27, 2021",https://tsmliberia.com/fact-check-false-the-un-did-not-issue-this-alert-on-organ-trafficking-in-the-middle-east/
131,Does waxing or shaving of woman’s pubic hair cause microscopic trauma?,The Stage Media-Liberia -,"September 16, 2021",https://tsmliberia.com/does-waxing-or-shaving-of-womans-pubic-hair-cause-microscopic-trauma/
132,Does corn silk cure diseases as claimed in this video?,The Stage Media-Liberia -,"September 13, 2021",https://tsmliberia.com/does-corn-silk-cure-diseases-as-claimed-in-this-video/
133,Did 82 Percent of Liberians Agree to Transitional Justice?,The Stage Media-Liberia -,"September 9, 2021",https://tsmliberia.com/did-82-percent-of-liberians-agree-to-transitional-justice/
134,Facebook account using the image and name of Hon. Yekeh Kolubah...,The Stage Media-Liberia -,"September 7, 2021",https://tsmliberia.com/facebook-account-using-the-image-and-name-of-hon-yekeh-kolubah-and-throwing-insults-is-a-satire-page/
135,Scam Alert: Coca Cola is not Running a Survey,The Stage Media-Liberia -,"September 7, 2021",https://tsmliberia.com/scam-alert-coca-cola-is-not-running-a-survey/
136,Are Motor Vehicles  and Pedestrians Still Plying the Sanniquelle-Ganta Highway?,The Stage Media-Liberia -,"September 6, 2021",https://tsmliberia.com/are-motor-vehicles-and-pedestrians-still-plying-the-sanniquelle-ganta-highway/
137,"Does sleeping without light help fight disease, boost intelligence?",The Stage Media-Liberia -,"September 3, 2021",https://tsmliberia.com/does-sleeping-without-light-help-fight-disease-boost-intelligence/
138,"False, Yekeh Kolubah Is Not Dead",The Stage Media-Liberia -,"August 31, 2021",https://tsmliberia.com/false-yekeh-kolubah-is-not-dead/
139,False: Photo of a 10-year old girl giving birth to a...,The Stage Media-Liberia -,"August 21, 2021",https://tsmliberia.com/false-photo-of-a-10-year-old-girl-giving-birth-to-a-girl-child-did-not-happen-in-lofa-county-liberia/
140,Liberia’s Freedom of Information Law explained,The Stage Media-Liberia -,"August 16, 2021",https://tsmliberia.com/liberias-freedom-of-information-law-explained/
141,Beware of this satire portraying Messi wearing Liverpool star Divork Origi...,The Stage Media-Liberia -,"August 13, 2021",https://tsmliberia.com/beware-of-this-satire-portraying-messi-wearing-liverpool-star-divork-origi-shirt/
142,"False: Sim Swap Fraud Alert Message Impossible, Not From UBA Liberia",The Stage Media-Liberia -,"August 9, 2021",https://tsmliberia.com/false-sim-swap-fraud-alert-message-impossible-not-from-uba-liberia/
143,Liberia must fight its fake news epidemic to fight the pandemic,The Stage Media-Liberia -,"August 5, 2021",https://tsmliberia.com/liberia-must-fight-its-fake-news-epidemic-to-fight-the-pandemic/
144,PTCIJ-Dubawa and The Stage Media Ends Fact Checking Training in Monrovia,The Stage Media-Liberia -,"August 4, 2021",https://tsmliberia.com/ptcij-dubawa-and-the-stage-media-ends-fact-checking-training-in-monrovia/
145,Explainer: Will Charloe Musu’s Remains Be Taken to Court?,R. Joyclyn Wea -,"July 12, 2023",https://tsmliberia.com/explainer-will-charloe-musus-remains-be-taken-to-court/
146,True! Sierra Leone was elected as a non-permanent member of the...,Gloria Wleh -,"July 11, 2023",https://tsmliberia.com/true-sierra-leone-was-elected-as-a-non-permanent-member-of-the-un-security-council/
147,"Correct, Costa Got 8 Percent In 2017 Elections",R. Joyclyn Wea -,"July 11, 2023",https://tsmliberia.com/correct-costa-got-8-percent-in-2017-elections/
148,What Did Representative Foko Say about Weah’s One-Term Bid?,Mark Mengonfia -,"July 8, 2023",https://tsmliberia.com/what-did-representative-foko-say-about-weahs-one-term-bid/
149,The Post of Costa For President is Misleading,Mark Mengonfia -,"June 30, 2023",https://tsmliberia.com/the-post-of-costa-for-president-is-misleading/
150,Explainer: Why Justice Scott’s Motion to Admit to Bail Was Denied?,R. Joyclyn Wea -,"June 28, 2023",https://tsmliberia.com/explainer-why-justice-scotts-motion-to-admit-to-bail-was-denied/
151,Explainer: Will Charloe Musu’s Remains Be Taken to Court?,R. Joyclyn Wea -,"July 12, 2023",https://tsmliberia.com/explainer-will-charloe-musus-remains-be-taken-to-court/
152,True! Sierra Leone was elected as a non-permanent member of the...,Gloria Wleh -,"July 11, 2023",https://tsmliberia.com/true-sierra-leone-was-elected-as-a-non-permanent-member-of-the-un-security-council/
153,"Correct, Costa Got 8 Percent In 2017 Elections",R. Joyclyn Wea -,"July 11, 2023",https://tsmliberia.com/correct-costa-got-8-percent-in-2017-elections/
154,What Did Representative Foko Say about Weah’s One-Term Bid?,Mark Mengonfia -,"July 8, 2023",https://tsmliberia.com/what-did-representative-foko-say-about-weahs-one-term-bid/
